PRJNA_ID	run_accession	geo_accession	sample_accession	title	fastq_ftp
PRJNA273359	SRR1768948	GSM1588910	SAMN03290926	Pt23-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768948/SRR1768948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768948/SRR1768948_2.fastq.gz
PRJNA273359	SRR1768949	GSM1588911	SAMN03290925	Pt23-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768949/SRR1768949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768949/SRR1768949_2.fastq.gz
PRJNA273359	SRR1768950	GSM1588912	SAMN03290945	Pt24-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768950/SRR1768950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768950/SRR1768950_2.fastq.gz
PRJNA273359	SRR1768951	GSM1588912	SAMN03290945	Pt24-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768951/SRR1768951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768951/SRR1768951_2.fastq.gz
PRJNA273359	SRR1768952	GSM1588913	SAMN03290938	Pt24-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768952/SRR1768952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768952/SRR1768952_2.fastq.gz
PRJNA273359	SRR1768953	GSM1588913	SAMN03290938	Pt24-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768953/SRR1768953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768953/SRR1768953_2.fastq.gz
PRJNA273359	SRR1768954	GSM1588914	SAMN03290952	M229-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768954/SRR1768954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768954/SRR1768954_2.fastq.gz
PRJNA273359	SRR1768955	GSM1588914	SAMN03290952	M229-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768955/SRR1768955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768955/SRR1768955_2.fastq.gz
PRJNA273359	SRR1768956	GSM1588914	SAMN03290952	M229-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768956/SRR1768956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768956/SRR1768956_2.fastq.gz
PRJNA273359	SRR1768957	GSM1588914	SAMN03290952	M229-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768957/SRR1768957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768957/SRR1768957_2.fastq.gz
PRJNA273359	SRR1768958	GSM1588914	SAMN03290952	M229-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768958/SRR1768958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768958/SRR1768958_2.fastq.gz
PRJNA273359	SRR1768959	GSM1588914	SAMN03290952	M229-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768959/SRR1768959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768959/SRR1768959_2.fastq.gz
PRJNA273359	SRR1768960	GSM1588914	SAMN03290952	M229-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768960/SRR1768960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768960/SRR1768960_2.fastq.gz
PRJNA273359	SRR1768961	GSM1588914	SAMN03290952	M229-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768961/SRR1768961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768961/SRR1768961_2.fastq.gz
PRJNA273359	SRR1768962	GSM1588915	SAMN03290954	M229R5-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768962/SRR1768962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768962/SRR1768962_2.fastq.gz
PRJNA273359	SRR1768963	GSM1588915	SAMN03290954	M229R5-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768963/SRR1768963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768963/SRR1768963_2.fastq.gz
PRJNA273359	SRR1768964	GSM1588915	SAMN03290954	M229R5-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768964/SRR1768964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768964/SRR1768964_2.fastq.gz
PRJNA273359	SRR1768965	GSM1588915	SAMN03290954	M229R5-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768965/SRR1768965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768965/SRR1768965_2.fastq.gz
PRJNA273359	SRR1768966	GSM1588915	SAMN03290954	M229R5-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768966/SRR1768966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768966/SRR1768966_2.fastq.gz
PRJNA273359	SRR1768967	GSM1588915	SAMN03290954	M229R5-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768967/SRR1768967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768967/SRR1768967_2.fastq.gz
