patient_biospecimen	biosample_accession	local_fastq_r1	local_fastq_r2
Pt8-baseline	SAMN03290895	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768861_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768862_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768861_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768862_2.fastq.gz
Pt8-DP1	SAMN03290900	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768863_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768864_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768863_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768864_2.fastq.gz
Pt8-DP2	SAMN03290903	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768865_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768866_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768865_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768866_2.fastq.gz
Pt8-DP3	SAMN03290891	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768867_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768868_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768867_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768868_2.fastq.gz
Pt9-baseline	SAMN03290896	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768869_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768870_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768869_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768870_2.fastq.gz
Pt9-DP1	SAMN03290912	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768871_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768872_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768871_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768872_2.fastq.gz
Pt9-DP2	SAMN03290918	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768873_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768874_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768873_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768874_2.fastq.gz
SKMel28-DMSO	SAMN03290948	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768984_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768985_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768984_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768985_2.fastq.gz
SKMel28DDR1-PLXAZD	SAMN03290929	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768988_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768989_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768988_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768989_2.fastq.gz
SKMel28R1-PLX	SAMN03290936	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768986_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768987_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768986_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768987_2.fastq.gz
